game_id,header,home_team,away_team,home_rank,away_rank,home_score,away_score,home_record,away_record,bg_image,photo_cred,game_datetime,status,posted_to_instagram,caption
ciac_dd4637c6,CIAC Boys Basketball,Coventry,Northwestern,NR,NR,,,,,,,03/10/2026 18:00:00,scheduled,FALSE,
ciac_e9cd7a5c,CIAC Boys Basketball,East Catholic,St. Bernard,NR,NR,,,,,,,03/10/2026 18:00:00,scheduled,FALSE,
ciac_c8bc1d30,CIAC Boys Basketball,East Granby,Vinal Tech,NR,NR,,,,,,,03/10/2026 18:00:00,scheduled,FALSE,
ciac_f1264633,CIAC Boys Basketball,Ellington,Career Magnet,NR,NR,,,,,,,03/10/2026 18:00:00,scheduled,FALSE,
ciac_44a11351,CIAC Boys Basketball,Grasso Tech,RHAM,NR,NR,,,,,,,03/10/2026 18:00:00,scheduled,FALSE,
ciac_44ebba94,CIAC Boys Basketball,Haddam Killingworth,Hale Ray,NR,NR,,,,,,,03/10/2026 18:00:00,scheduled,FALSE,
ciac_13d3c901,CIAC Boys Basketball,Hartford Public,Comp Sci,NR,NR,,,,,,,03/10/2026 18:00:00,scheduled,FALSE,
ciac_40512331,CIAC Boys Basketball,Killingly,Amity,NR,NR,,,,,,,03/10/2026 18:00:00,scheduled,FALSE,
ciac_964b5570,CIAC Boys Basketball,New London,Holy Cross,NR,NR,,,,,,,03/10/2026 18:00:00,scheduled,FALSE,
ciac_1c58bf8d,CIAC Boys Basketball,North Branford,Thomaston,NR,NR,,,,,,,03/10/2026 18:00:00,scheduled,FALSE,
ciac_15324cca,CIAC Boys Basketball,North Haven,Torrington,NR,NR,,,,,,,03/10/2026 18:00:00,scheduled,FALSE,
ciac_1a04ccad,CIAC Boys Basketball,Northwest Catholic,Greenwich,NR,NR,,,,,,,03/10/2026 18:00:00,scheduled,FALSE,
ciac_f4f2d77d,CIAC Boys Basketball,Notre Dame-West Haven,Stamford,NR,NR,,,,,,,03/10/2026 18:00:00,scheduled,FALSE,
ciac_99d634b8,CIAC Boys Basketball,Plainfield,Terryville,NR,NR,,,,,,,03/10/2026 18:00:00,scheduled,FALSE,
ciac_b6b2c365,CIAC Boys Basketball,Ridgefield,Southington,NR,NR,,,,,,,03/10/2026 18:00:00,scheduled,FALSE,
ciac_f145314f,CIAC Boys Basketball,SMSA,Sheehan,NR,NR,,,,,,,03/10/2026 18:00:00,scheduled,FALSE,
ciac_bd33c53e,CIAC Boys Basketball,Somers,Montville,NR,NR,,,,,,,03/10/2026 18:00:00,scheduled,FALSE,
ciac_6140da09,CIAC Boys Basketball,Stafford,Old Saybrook,NR,NR,,,,,,,03/10/2026 18:00:00,scheduled,FALSE,
ciac_ed67ece0,CIAC Boys Basketball,Stratford,Middletown,NR,NR,,,,,,,03/10/2026 18:00:00,scheduled,FALSE,
ciac_7a2ff8b1,CIAC Boys Basketball,West Haven,Danbury,NR,NR,,,,,,,03/10/2026 18:00:00,scheduled,FALSE,
ciac_3ed98518,CIAC Boys Basketball,Wilby,New Fairfield,NR,NR,,,,,,,03/10/2026 18:00:00,scheduled,FALSE,
ciac_c32d8e6d,CIAC Girls Basketball,Bunnell,Rockville,NR,NR,,,,,,,03/10/2026 18:00:00,scheduled,FALSE,
ciac_64e622c9,CIAC Girls Basketball,Canton,Immaculate,NR,NR,,,,,,,03/10/2026 18:00:00,scheduled,FALSE,
ciac_d5008870,CIAC Girls Basketball,Enfield,Bethel,NR,NR,,,,,,,03/10/2026 18:00:00,scheduled,FALSE,
ciac_4223f0a5,CIAC Girls Basketball,Kaynor Tech,Lauralton Hall,NR,NR,,,,,,,03/10/2026 18:00:00,scheduled,FALSE,
ciac_355b7159,CIAC Girls Basketball,Ledyard,Stamford,NR,NR,,,,,,,03/10/2026 18:00:00,scheduled,FALSE,
ciac_c978f818,CIAC Girls Basketball,Morgan,Naugatuck,NR,NR,,,,,,,03/10/2026 18:00:00,scheduled,FALSE,
ciac_a035329b,CIAC Girls Basketball,Rocky Hill,New London,NR,NR,,,,,,,03/10/2026 18:00:00,scheduled,FALSE,
ciac_93fbd918,CIAC Girls Basketball,South Windsor,Fairfield Ludlowe,NR,NR,,,,,,,03/10/2026 18:00:00,scheduled,FALSE,
ciac_db726a7c,CIAC Girls Basketball,Stonington,RHAM,NR,NR,,,,,,,03/10/2026 18:00:00,scheduled,FALSE,
ciac_4747f625,CIAC Girls Basketball,Trumbull,West Haven,NR,NR,,,,,,,03/10/2026 18:00:00,scheduled,FALSE,
ciac_85381d25,CIAC Girls Basketball,Wilcox Tech,East Hampton,NR,NR,,,,,,,03/10/2026 18:00:00,scheduled,FALSE,
ciac_4ebd9332,CIAC Girls Basketball,Woodstock Academy,Bristol Central,NR,NR,,,,,,,03/10/2026 18:00:00,scheduled,FALSE,
ciac_192c2970,CIAC Boys Basketball,Bethel,St. Joseph,NR,NR,,,,,,,03/10/2026 18:30:00,scheduled,FALSE,
ciac_07417ff6,CIAC Boys Basketball,Notre Dame Prep,New Britain,NR,NR,,,,,,,03/10/2026 19:30:00,scheduled,FALSE,
ciac_dffd5511,CIAC Girls Basketball,Staples,Fairfield Warde,NR,NR,,,,,,,03/10/2026 19:30:00,scheduled,FALSE,
